UnidadFiscalizableId,SiglaInstrumento,NombreRegion,NombreRegionProyecto
212,RCA,Región de Valparaíso,Región de Valparaíso
212,RCA,Interregional,Interregional
212,RCA,Región de Valparaíso,Región de Valparaíso
212,RCA,Interregional,Interregional
212,RCA,Interregional,Interregional
212,RCA,Interregional,Interregional
212,RCA,Región de Valparaíso,Región de Valparaíso
212,RCA,Región de Valparaíso,Región de Valparaíso
212,NE,NA,NA
212,RCA,Región de Valparaíso,Región de Valparaíso
212,RCA,Región de Valparaíso,Región de Valparaíso
212,RCA,Región de Valparaíso,Región de Valparaíso
213,RCA,Interregional,Interregional
213,RCA,Interregional,Interregional
214,RCA,Interregional,Interregional
214,RCA,Interregional,Interregional
214,RCA,Interregional,Interregional
214,RCA,Interregional,Interregional
214,RCA,Interregional,Interregional
216,RCA,Región Metropolitana,Región Metropolitana
216,RCA,Interregional,Región de Valparaíso
216,RCA,Región Metropolitana,Región Metropolitana
216,RCA,Región de Valparaíso,Región de Valparaíso
216,RCA,Interregional,Interregional
217,RCA,Región Metropolitana,Región Metropolitana
217,RCA,Región Metropolitana,Región Metropolitana
217,RCA,Región Metropolitana,Región Metropolitana
217,RCA,Región Metropolitana,Región Metropolitana
217,RCA,Región Metropolitana,Región Metropolitana
217,RCA,Región Metropolitana,Región Metropolitana
217,RCA,Región Metropolitana,Región Metropolitana
217,RCA,Región Metropolitana,Región Metropolitana
217,NE,NA,NA
217,PPDA,NA,NA
217,PC,NA,NA
217,PPDA,NA,NA
217,MP,NA,NA
220,RCA,Región Metropolitana,Región Metropolitana
220,MP,NA,NA
221,RCA,Región Metropolitana,Región Metropolitana
221,RCA,Región Metropolitana,Región Metropolitana
221,RCA,Región Metropolitana,Región Metropolitana
221,RCA,Región Metropolitana,Región Metropolitana
221,RCA,Región Metropolitana,Región Metropolitana
221,RCA,Región Metropolitana,Región Metropolitana
221,RCA,Región Metropolitana,Región Metropolitana
221,RCA,Región Metropolitana,Región Metropolitana
221,RCA,Región Metropolitana,Región Metropolitana
221,RCA,Región Metropolitana,Región Metropolitana
221,RCA,Región Metropolitana,Región Metropolitana
221,RCA,Región Metropolitana,Región Metropolitana
221,PC,NA,NA
221,PC,NA,NA
222,RCA,Región Metropolitana,Región Metropolitana
222,RCA,Región Metropolitana,Región Metropolitana
222,RCA,Interregional,Región Metropolitana
222,RCA,Interregional,Interregional
222,RCA,Región Metropolitana,Región Metropolitana
222,RCA,Región Metropolitana,NA
222,RCA,Región Metropolitana,Región Metropolitana
224,RCA,Región Metropolitana,Región Metropolitana
224,RCA,Región Metropolitana,Región Metropolitana
224,RCA,Región Metropolitana,Región Metropolitana
224,RCA,Región Metropolitana,Región Metropolitana
224,RCA,Región Metropolitana,Región Metropolitana
224,RCA,Región Metropolitana,Región Metropolitana
224,PPDA,NA,NA
224,PPDA,NA,NA
225,RCA,Región Metropolitana,Región Metropolitana
225,RCA,Región Metropolitana,Región Metropolitana
225,NE,NA,NA
226,RCA,Región Metropolitana,Región Metropolitana
226,RCA,Región Metropolitana,Región Metropolitana
226,NE,NA,NA
226,MP,NA,NA
226,PC,NA,NA
227,RCA,Región Metropolitana,Región Metropolitana
227,RCA,Región Metropolitana,Región Metropolitana
227,RCA,Región Metropolitana,Región Metropolitana
227,RCA,Región Metropolitana,Región Metropolitana
227,RCA,Región Metropolitana,Región Metropolitana
227,RCA,Región Metropolitana,Región Metropolitana
227,RCA,Región Metropolitana,NA
227,RCA,Región Metropolitana,Región Metropolitana
227,NE,NA,NA
227,PPDA,NA,NA
227,PPDA,NA,NA
228,RCA,Región Metropolitana,Región Metropolitana
228,RCA,Región Metropolitana,Región Metropolitana
228,RCA,Región Metropolitana,Región Metropolitana
228,RCA,Región Metropolitana,Región Metropolitana
228,RCA,Región Metropolitana,Región Metropolitana
228,RCA,Región Metropolitana,Región Metropolitana
228,RCA,Región Metropolitana,Región Metropolitana
228,RCA,Región Metropolitana,Región Metropolitana
228,RCA,Región Metropolitana,NA
228,PC,NA,NA
229,RCA,Región Metropolitana,Región Metropolitana
229,RCA,Región Metropolitana,Región Metropolitana
229,RCA,Interregional,Interregional
229,RCA,Región Metropolitana,Región Metropolitana
229,RCA,Región Metropolitana,Región Metropolitana
229,RCA,Interregional,Interregional
229,RCA,Interregional,Interregional
229,RCA,Interregional,Región Metropolitana
229,RCA,Región Metropolitana,Región Metropolitana
229,RCA,Región Metropolitana,Región Metropolitana
229,RCA,Región Metropolitana,Región Metropolitana
229,RCA,Región Metropolitana,Región Metropolitana
229,RCA,Interregional,Interregional
229,RCA,Región Metropolitana,Región Metropolitana
229,NE,NA,NA
229,NE,NA,NA
229,MP,NA,NA
229,RCA,Región Metropolitana,Región Metropolitana
229,MP,NA,NA
232,RCA,Región Metropolitana,Región Metropolitana
233,RCA,Región Metropolitana,Región Metropolitana
233,RCA,Región Metropolitana,Región Metropolitana
233,RCA,Región Metropolitana,Región Metropolitana
233,RCA,Interregional,Interregional
233,NE,NA,NA
233,NE,NA,NA
233,PPDA,NA,NA
233,RSMA,NA,NA
233,LEY,NA,NA
233,PPDA,NA,NA
236,RCA,Interregional,NA
240,RCA,Región Metropolitana,Región Metropolitana
240,NE,NA,NA
240,PC,NA,NA
241,RCA,Región Metropolitana,Región Metropolitana
241,RCA,Región Metropolitana,Región Metropolitana
241,RCA,Región Metropolitana,Región Metropolitana
241,RCA,Región Metropolitana,Región Metropolitana
241,RCA,Región Metropolitana,Región Metropolitana
241,PPDA,NA,NA
241,RCA,Región Metropolitana,Región Metropolitana
242,RCA,Región Metropolitana,Región Metropolitana
242,RCA,Región Metropolitana,Región Metropolitana
245,RCA,Interregional,Interregional
245,MP,NA,NA
245,PC,NA,NA
248,RCA,Interregional,Interregional
248,RCA,Interregional,Interregional
