UnidadFiscalizableId,RegionNombre,Latitud,Longitud,CategoriaEconomicaNombre
394,Región de Tarapacá,-19.234711,-68.792448,Equipamiento
395,Región de Tarapacá,-20.349443,-70.160466,Instalación fabril
396,NA,NA,NA,NA
397,Región de Tarapacá,-20.53431,-69.285991,Minería
398,Región de Tarapacá,-19.815126,-69.044392,Minería
399,Región de Tarapacá,-20.26310733,-69.75049367,Energía
400,Región de Tarapacá,-20.2624505,-70.127985,Otras categorías
401,Región de Tarapacá,-20.234443,-70.08457,Saneamiento Ambiental
402,Región de Tarapacá,NA,NA,Equipamiento
403,Región de Tarapacá,-20.4535425,-69.5344885,Energía
404,Región de Tarapacá,-20.487407,-70.161529,Pesca y Acuicultura
405,Región de Tarapacá,-20.8308785,-70.126037,Pesca y Acuicultura
406,Región de Tarapacá,-20.36399,-69.65209,Pesca y Acuicultura
407,Región de Tarapacá,-20.393889,-69.637438,Pesca y Acuicultura
408,Región de Tarapacá,-20.505206,-69.353992,Pesca y Acuicultura
409,Región de Tarapacá,-20.952229,-70.137501,Pesca y Acuicultura
410,Región de Tarapacá,-20.206602,-69.342113,Minería
411,Región de Tarapacá,-19.3837655,-68.932709,Energía
412,Región de Tarapacá,-19.38887742,-69.884,Minería
413,Región de Tarapacá,-20.293351,-70.129126,Equipamiento
414,Región de Tarapacá,-20.291316,-70.128096,Vivienda e Inmobiliarios
415,Región de Tarapacá,-20.93490402,-68.66580016,Minería
416,Región de Tarapacá,-21.10614975,-70.129131,Pesca y Acuicultura
417,Región de Tarapacá,-20.4116365,-70.1662215,Pesca y Acuicultura
418,Región de Arica y Parinacota,-18.478408,-70.27248,Energía
